cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,23.3847175577775,15.5412692,0.0311800767695954,2,251.818302956327,2,37.009,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,33.3642827010409,15.16036064,0.0613828528306676,2,238.180855407471,2,37.073,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,43.3442916071035,14.59849552,0.13931461161372,2,221.831266637976,2,37.215,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,63.910558036725,14.00563784,0.170423070629589,2,217.415685400432,2,37.742,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,93.9568256066749,13.45976888,0.154999741359355,2,217.903398839361,2,38.059,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.29407,-0.58936,103.536179546344,13.3544608266667,0.208348778957764,2,217.548191233683,2,38.0916666666667,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,66.4307008518386,14.06562344,0.17821490033184,2,218.983258691946,2,37.734,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,81.4534184430624,13.7516988,0.147027243288995,2,201.563379100987,2,37.957,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,131.771724824773,13.32280176,0.239505730453551,2,194.701837720499,2,38.081,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,222.655622213364,13.29280896,0.378662708093334,2,182.953967105177,2,38.322,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,507.44848316579,13.29980728,0.44771133330596,2,184.227887093235,2,38.516,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,757.508504668545,13.13884592,0.409762953036082,2,192.514001047216,2,38.484,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,1018.78307447178,13.05486608,0.409770878785009,2,193.033807967216,2,38.458,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.16249,-0.58928,5.94667496301408,16.08913768,0.00779482198228213,2,253.581953833025,2,37.043,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.16249,-0.58928,45.6624083605446,14.5065176,0.0633244936274476,2,236.425812230062,2,37.222,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.16249,-0.58928,65.6237301344349,14.24658,0.0788880503958161,2,229.60718055297,2,37.631,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.16249,-0.58928,101.014074116197,13.70271056,0.174296667821273,2,220.84804599993,2,37.91,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.16249,-0.58928,1021.30792419484,12.97988408,0.48569620516591,2,199.803292157009,2,38.442,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,35.0774137029934,15.67323752,0.00487175648867492,2,253.818393150532,2,37.045,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,60.2800893961428,14.44253296,0.0603934208534379,2,232.618126086207,2,37.409,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,70.7652361531601,14.31056464,0.12370035990224,2,218.33738237955,2,37.504,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,80.9483956976156,14.04062944,0.0759642360145067,2,223.510168402688,2,37.667,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,112.105684544178,13.35379432,0.100297418942106,2,211.157696781971,2,37.859,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.10939,-0.59115,180.787999815682,13.32580104,0.26575122493308,2,195.677745250379,2,38.292,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,6.45057185246345,15.79520824,0.00292321267891729,2,253.535162799347,2,36.972,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,33.4643551086793,15.521274,0.00974399875877638,2,253.77911607695,2,36.978,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,40.6215365239563,14.75045904,0.0233833175409498,2,250.756172989929,2,37.109,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,67.7402523840551,14.24757976,0.197730921331104,2,207.175612028191,2,37.469,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,83.0652882278877,13.98964168,0.253205830683276,2,203.956026058186,2,37.711,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,106.357313986139,13.41278016,0.100295926522971,2,229.350553732213,2,37.879,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,145.989564339889,13.39078544,0.169398174261826,2,215.107158985507,2,38.147,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,194.001362802125,13.3018068,0.281321574623446,2,196.975493150082,2,38.315,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,373.632433968063,13.22582504,0.385428228998125,2,185.270904515863,2,38.491,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,505.318762962149,13.14084544,0.405868812519292,2,187.784663333123,2,38.487,2,training
ALMOFRONT,28-Apr-1991 00:00:00,37.04761,-0.58873,757.091474577236,13.00987688,0.399064870002298,2,195.550947450856,2,38.456,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,5.64401091752721,15.78721016,0.00487198125269646,2,253.706514233214,2,36.983,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,33.6645947670152,15.63824592,0.0048719885033631,2,253.828612943988,2,36.981,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,44.0472100522832,14.99440048,0.00487173473800102,2,249.954506499299,2,37.051,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,75.7020307662349,14.22958408,0.202594206890441,2,210.946923397577,2,37.515,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,85.2800060761398,14.16959848,0.174329998531686,2,211.226334715743,2,37.653,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,124.301878435763,13.73870192,0.315453847138807,2,187.697969847273,2,38.05,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,131.663354257369,13.67271776,0.300842116223882,2,189.904952410719,2,38.083,2,training
ALMOFRONT,28-Apr-1991 00:00:00,36.5891,-0.58885,168.474357161333,13.32980008,0.18788631052678,2,212.402093486828,2,38.214,2,training
